Picture Name,Label,N=3,N=5,N=11,N=21,,
02901,Timisoara Hotel,1,0.95,0.926667,0.926667,,
02902,Timisoara Hotel,1,1,1,0.74359,,
02903,Timisoara Hotel,0.833333,0.833333,0.62381,0.62381,,
02904,Timisoara Hotel,1,0.7,0.691667,0.691667,,
02905,Timisoara Hotel,1,1,1,1,,
02906,Timisoara Hotel,0.833333,0.833333,0.833333,0.529915,,
02907,Timisoara Hotel,0,0,0,0.0972851,,
02908,Timisoara Hotel,1,1,1,1,,
02909,Timisoara Hotel,0,0,0,0.0526316,,
02910,Timisoara Hotel,1,1,1,0.411859,,
02911,Timisoara Hotel,0,0.25,0.25,0.191667,,
02912,Timisoara Hotel,0,0,0,0,,
02913,Timisoara Hotel,0,0,0,0.0972222,,
02914,Timisoara Hotel,0,0,0,0,,
02915,Timisoara Hotel,0,0,0,0,,
02916,Timisoara Hotel,0,0,0,0,,
03001,Weiss Palace,1,1,1,0.39416,,
03002,Weiss Palace,1,1,0.666667,0.666667,,
03003,Weiss Palace,0,0.25,0.25,0.172619,,
03004,Weiss Palace,0,0,0,0,,
03005,Weiss Palace,0,0,0,0,,
03006,Weiss Palace,0,0,0,0.0526316,,
03007,Weiss Palace,0,0,0,0.10989,,
03008,Weiss Palace,0.5,0.5,0.5,0.5,,
03009,Weiss Palace,0,0,0.1,0.147712,,
03010,Weiss Palace,1,1,1,0.5625,,
03101,Hilt-Vogel Palace,0,0,0,0,,
03102,Hilt-Vogel Palace,0,0,0,0.0833333,,
03103,Hilt-Vogel Palace,0,0,0.0909091,0.0909091,,
03104,Hilt-Vogel Palace,0,0,0,0,,
03105,Hilt-Vogel Palace,0.333333,0.333333,0.333333,0.333333,,
03106,Hilt-Vogel Palace,0.333333,0.333333,0.333333,0.333333,,
03107,Hilt-Vogel Palace,0,0,0,0,,
03108,Hilt-Vogel Palace,0,0,0,0,,
03109,Hilt-Vogel Palace,0,0,0,0,,
03110,Hilt-Vogel Palace,0,0,0,0,,
03111,Hilt-Vogel Palace,0,0.2,0.266667,0.266667,,
03112,Hilt-Vogel Palace,0,0,0,0,,
03201,William Shakespeare Highschool,0,0.2,0.2,0.2,,
03202,William Shakespeare Highschool,0,0,0,0,,
03203,William Shakespeare Highschool,0,0,0,0,,
03204,William Shakespeare Highschool,0,0,0,0,,
03205,William Shakespeare Highschool,0,0,0,0.113095,,
03206,William Shakespeare Highschool,0,0,0,0.0526316,,
03301,Serbian Orthodox Cathedral,0,0,0,0,,
03302,Serbian Orthodox Cathedral,0,0,0,0,,
03303,Serbian Orthodox Cathedral,0,0,0.111111,0.111111,,
03304,Serbian Orthodox Cathedral,0,0,0,0,,
03305,Serbian Orthodox Cathedral,0,0,0.194444,0.194444,,
03306,Serbian Orthodox Cathedral,0.833333,0.833333,0.722222,0.722222,,
03307,Serbian Orthodox Cathedral,0,0,0,0,,
03308,Serbian Orthodox Cathedral,0,0,0,0,,
03309,Serbian Orthodox Cathedral,0,0,0,0,,
03310,Serbian Orthodox Cathedral,1,1,0.611111,0.460039,,
03401,Serbian Community House,0,0,0,0.0714286,,
03402,Serbian Community House,0,0,0,0,,
03403,Serbian Community House,0,0,0,0,,
03404,Serbian Community House,0,0,0,0,,
03405,Serbian Community House,0,0,0,0.0666667,,
03406,Serbian Community House,0,0,0,0,,
03407,Serbian Community House,0,0,0.183333,0.177778,,
03408,Serbian Community House,1,1,1,1,,
03409,Serbian Community House,0,0.2,0.2,0.2,,
03410,Serbian Community House,0,0.2,0.2,0.2,,
03411,Serbian Community House,0,0,0,0,,
03412,Serbian Community House,0,0,0,0,,
03413,Serbian Community House,0,0,0.166667,0.166667,,
03501,Nica Koszta House,0,0,0,0,,
03502,Nica Koszta House,0,0,0,0,,
03503,Nica Koszta House,0,0,0,0,,
03504,Nica Koszta House,0,0,0,0.0942982,,
03505,Nica Koszta House,0,0,0,0.0588235,,
03506,Nica Koszta House,0,0.2,0.2,0.2,,
03507,Nica Koszta House,0,0,0,0,,
03508,Nica Koszta House,0,0,0,0,,
03509,Nica Koszta House,0,0,0,0,,
03510,Nica Koszta House,0,0,0,0,,
03601,Szervinatz House,0,0,0,0,,
03602,Szervinatz House,0,0.25,0.25,0.25,,
03603,Szervinatz House,0,0,0.166667,0.166667,,
03604,Szervinatz House,0,0,0,0.0900735,,
03605,Szervinatz House,0,0,0,0,,
03606,Szervinatz House,0.333333,0.333333,0.333333,0.233333,,
03607,Szervinatz House,0.5,0.5,0.5,0.5,,
03608,Szervinatz House,0,0,0,0,,
03609,Szervinatz House,0.5,0.5,0.5,0.5,,
03610,Szervinatz House,0,0.25,0.25,0.25,,
03701,La Leu Bank Hause,1,1,1,1,,
03702,La Leu Bank Hause,0,0,0,0.0714286,,
03703,La Leu Bank Hause,0,0,0,0,,
03704,La Leu Bank Hause,0,0.2,0.2,0.2,,
03705,La Leu Bank Hause,0,0,0,0,,
03706,La Leu Bank Hause,0,0,0,0,,
03707,La Leu Bank Hause,0,0,0,0,,
03708,La Leu Bank Hause,0,0,0,0.0526316,,
03709,La Leu Bank Hause,0,0,0,0,,
03710,La Leu Bank Hause,0,0,0,0,,
03801,Building 9- Str. Splaiul Nicolae Titulescu,0,0,0,0,,
03802,Building 9- Str. Splaiul Nicolae Titulescu,0,0,0,0,,
03803,Building 9- Str. Splaiul Nicolae Titulescu,0,0,0,0.0833333,,
03804,Building 9- Str. Splaiul Nicolae Titulescu,0,0,0,0,,
03805,Building 9- Str. Splaiul Nicolae Titulescu,0.333333,0.333333,0.291667,0.291667,,
03901,Roman Catholic Church in Elisabetin,0,0,0.125,0.125,,
03902,Roman Catholic Church in Elisabetin,0,0,0,0,,
03903,Roman Catholic Church in Elisabetin,0,0,0.111111,0.111111,,
03904,Roman Catholic Church in Elisabetin,0,0,0,0,,
03905,Roman Catholic Church in Elisabetin,0,0,0,0,,
04001,Timisoara Garrison Command,0,0,0.1,0.1,,
04002,Timisoara Garrison Command,0,0,0,0,,
04003,Timisoara Garrison Command,0,0,0,0,,
04004,Timisoara Garrison Command,0,0,0.166667,0.166667,,
04005,Timisoara Garrison Command,0.5,0.5,0.5,0.5,,
04006,Timisoara Garrison Command,0.333333,0.333333,0.333333,0.216667,,
04007,Timisoara Garrison Command,0,0,0,0,,
04008,Timisoara Garrison Command,0,0,0,0,,
04009,Timisoara Garrison Command,0,0,0,0,,
04010,Timisoara Garrison Command,0.833333,0.833333,0.833333,0.833333,,
04011,Timisoara Garrison Command,0,0,0,0.0833333,,
04101,La Elefant Hause,0,0,0,0,,
04102,La Elefant Hause,0,0,0,0,,
04103,La Elefant Hause,0,0,0,0,,
04104,La Elefant Hause,0,0,0,0.047619,,
04105,La Elefant Hause,0,0,0,0,,
04106,La Elefant Hause,0,0,0,0,,
04107,La Elefant Hause,0,0,0.1,0.1,,
04108,La Elefant Hause,0,0,0,0,,
04109,La Elefant Hause,0,0,0,0,,
04110,La Elefant Hause,0,0,0,0,,
04111,La Elefant Hause,0,0,0,0.0833333,,
04201,Military Casino of Timisoara,0.333333,0.333333,0.333333,0.333333,,
04202,Military Casino of Timisoara,0,0,0,0,,
04203,Military Casino of Timisoara,0,0,0,0.110297,,
04204,Military Casino of Timisoara,1,0.7,0.7,0.533333,,
04205,Military Casino of Timisoara,0,0,0,0,,
04206,Military Casino of Timisoara,0,0,0,0,,
04207,Military Casino of Timisoara,0,0,0,0,,
04208,Military Casino of Timisoara,1,1,1,1,,
04209,Military Casino of Timisoara,0.5,0.5,0.5,0.5,,
04210,Military Casino of Timisoara,0,0,0.111111,0.111111,,
04211,Military Casino of Timisoara,0,0,0,0,,
04301,Diamond Roullete Palace,0,0.2,0.2,0.2,,
04302,Diamond Roullete Palace,1,1,0.6,0.6,,
04303,Diamond Roullete Palace,1,1,1,1,,
04304,Diamond Roullete Palace,1,1,1,0.692105,,
04305,Diamond Roullete Palace,1,1,1,1,,
04306,Diamond Roullete Palace,1,0.7,0.7,0.516667,,
04307,Diamond Roullete Palace,0,0,0,0,,
04308,Diamond Roullete Palace,0.5,0.5,0.392857,0.345238,,
04309,Diamond Roullete Palace,0.5,0.5,0.5,0.5,,
04310,Diamond Roullete Palace,1,1,0.788889,0.705026,,
04311,Diamond Roullete Palace,1,1,0.861111,0.861111,,
04401,Building 3 Str. V. Alecsandri,0,0,0,0,,
04402,Building 3 Str. V. Alecsandri,0,0,0,0,,
04403,Building 3 Str. V. Alecsandri,0,0,0,0,,
04404,Building 3 Str. V. Alecsandri,0,0,0.0909091,0.0909091,,
04405,Building 3 Str. V. Alecsandri,0,0,0,0,,
04501,Catharina Hertl Hause,1,1,0.823902,0.770914,,
04502,Catharina Hertl Hause,1,0.95,0.86,0.86,,
04503,Catharina Hertl Hause,1,1,0.777778,0.777778,,
04504,Catharina Hertl Hause,1,1,1,0.808824,,
04505,Catharina Hertl Hause,0,0,0,0,,
04506,Catharina Hertl Hause,0.833333,0.833333,0.680556,0.581845,,
04507,Catharina Hertl Hause,1,1,0.833333,0.597059,,
04508,Catharina Hertl Hause,1,1,0.844444,0.844444,,
04509,Catharina Hertl Hause,1,1,1,0.802632,,
04510,Catharina Hertl Hause,1,1,0.916667,0.916667,,
04601,Building 6 Str. Lucian Blaga,0.5,0.5,0.5,0.5,,
04602,Building 6 Str. Lucian Blaga,1,1,0.625,0.625,,
04603,Building 6 Str. Lucian Blaga,0,0,0,0.0526316,,
04604,Building 6 Str. Lucian Blaga,0,0,0,0,,
04605,Building 6 Str. Lucian Blaga,1,1,1,0.583333,,
04606,Building 6 Str. Lucian Blaga,0,0,0,0,,
04701,Building 1 Str. Vasile Alecsandri,0,0,0,0,,
04702,Building 1 Str. Vasile Alecsandri,0,0,0,0.0625,,
04703,Building 1 Str. Vasile Alecsandri,0.833333,0.833333,0.833333,0.833333,,
04704,Building 1 Str. Vasile Alecsandri,0.5,0.5,0.5,0.305556,,
04705,Building 1 Str. Vasile Alecsandri,1,1,1,0.605311,,
04706,Building 1 Str. Vasile Alecsandri,0,0,0,0.0833333,,
04801,Art Museum Timisoara,1,1,1,1,,
04802,Art Museum Timisoara,0,0.2,0.266667,0.266667,,
04803,Art Museum Timisoara,0,0,0,0,,
04804,Art Museum Timisoara,0,0,0,0,,
04805,Art Museum Timisoara,0,0,0,0,,
04806,Art Museum Timisoara,0,0,0,0,,
04807,Art Museum Timisoara,0,0,0,0,,
04808,Art Museum Timisoara,0,0,0,0,,
04809,Art Museum Timisoara,0,0,0,0,,
04810,Art Museum Timisoara,0,0,0,0.0555556,,
04811,Art Museum Timisoara,0,0,0,0,,
04812,Art Museum Timisoara,0,0,0,0,,
04813,Art Museum Timisoara,0,0,0,0,,
04901,Ormos House,0,0,0,0,,
04902,Ormos House,0,0.2,0.2,0.2,,
04903,Ormos House,0,0,0,0,,
04904,Ormos House,1,1,0.766667,0.766667,,
04905,Ormos House,0,0,0,0.0588235,,
04906,Ormos House,1,1,0.777778,0.777778,,
04907,Ormos House,1,0.75,0.75,0.75,,
04908,Ormos House,1,1,1,0.74359,,
05001,Building 4 Str. Gen. E. Grigorescu,0,0.25,0.25,0.25,,
05002,Building 4 Str. Gen. E. Grigorescu,1,1,1,1,,
05101,Fabric Synagogue,0,0,0,0,,
05102,Fabric Synagogue,0,0.2,0.2,0.2,,
05103,Fabric Synagogue,0,0,0.1,0.1,,
05104,Fabric Synagogue,1,1,1,1,,
05105,Fabric Synagogue,0,0,0,0,,
05106,Fabric Synagogue,0,0,0,0,,
05107,Fabric Synagogue,1,1,0.590909,0.449495,,
05108,Fabric Synagogue,0,0,0,0,,
05201,Golden Stag Inn,0,0,0,0,,
05202,Golden Stag Inn,0,0,0,0,,
05203,Golden Stag Inn,0,0,0,0,,
05204,Golden Stag Inn,0,0,0,0,,
05205,Golden Stag Inn,1,1,1,1,,
05206,Golden Stag Inn,0.333333,0.333333,0.333333,0.333333,,
05207,Golden Stag Inn,0,0,0,0,,
05208,Golden Stag Inn,0,0,0,0,,
05209,Golden Stag Inn,0,0,0,0.0526316,,
05210,Golden Stag Inn,0,0,0,0,,
05301,Stefania Palace,0.5,0.533333,0.533333,0.533333,,
05302,Stefania Palace,0.5,0.5,0.420635,0.354464,,
05303,Stefania Palace,0,0,0,0,,
